County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location,Counties,New York Zip Codes
New York,628765,Store,JAC   ,SARH DELI GROCERY INC            ,SARH DELI GROCERY      ,201,W 131ST ST                   ,             ,               ,NEW YORK          ,NY,10027,1300,"{'latitude': '40.812957', 'longitude': '-73.946039', 'human_address': '{""address"": ""201 W 131ST ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10027""}'}",2095,754
New York,625636,Store,JAC   ,SAS NEWSSTAND CORP               ,SAS NEWSSTAND          ,1371,1ST AVE                     ,             ,               ,NEW YORK          ,NY,10021,600,"{'latitude': '40.768897', 'longitude': '-73.955201', 'human_address': '{""address"": ""1371 1ST AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10021""}'}",2095,744
New York,628300,Store,JAC   ,FRAY ROGELIO                     ,SAVAGE BONANZA         ,99,10TH AVE 5TH FLR      ,             ,               ,NEW YORK          ,NY,10011,1300,"{'latitude': '40.743826', 'longitude': '-74.006997', 'human_address': '{""address"": ""99 10TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095,735
New York,716108,Store,JAC   ,SAVORY DELI & GROCERY INC        ,SAVORY DELI & GROCERY  ,1840,AMSTERDAM AVE               ,             ,               ,NEW YORK          ,NY,10031,0,"{'latitude': '40.829121', 'longitude': '-73.944773', 'human_address': '{""address"": ""1840 AMSTERDAM AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10031""}'}",2095,758
New York,729891,Store,JAC   ,SAXELBY CHEESEMONGERS LLC        ,SAXELBY CHEESEMONGERS  ,75,9TH AVE CELLAR RETAIL A   ,             ,               ,NEW YORK          ,NY,10011,400,"{'latitude': '40.742227', 'longitude': '-74.004466', 'human_address': '{""address"": ""75 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095,735
New York,627011,Store,JAC   ,SAXELBY CHEESEMONGERS LLC        ,SAXELBY CHEESEMONGERS  ,120,ESSEX ST #17           ,             ,               ,NEW YORK          ,NY,10002,600,"{'latitude': '40.719429', 'longitude': '-73.987755', 'human_address': '{""address"": ""120 ESSEX ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
New York,622272,Store,JAC   ,SCHALLER MANUFACTURING CORP      ,SCHALLER & WEBER       ,1654,2ND AVE                     ,             ,               ,NEW YORK          ,NY,10028,7000,"{'latitude': '40.777671', 'longitude': '-73.951882', 'human_address': '{""address"": ""1654 2ND AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10028""}'}",2095,755
New York,739742,Store,JAC   ,63 EB MARKET INC                 ,SC MEAT MARKET         ,63,EAST BROADWAY                 ,             ,               ,NEW YORK          ,NY,10002,2400,"{'latitude': '40.713645', 'longitude': '-73.995126', 'human_address': '{""address"": ""63 EAST BROADWAY"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
New York,738488,Store,JAC   ,S & D KIM SUSHI CORP             ,S&D KIM SUSHI          ,600,W 160TH ST               ,             ,               ,NEW YORK          ,NY,10032,400,"{'latitude': '40.835974', 'longitude': '-73.943601', 'human_address': '{""address"": ""600 W 160TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10032""}'}",2095,791
New York,625181,Store,JACDHK,SEA BREEZE FISH MARKET INC       ,SEA BREEZE FISH MARKET ,541,9TH AVE                      ,             ,               ,NEW YORK          ,NY,10018,2200,"{'latitude': '40.7573', 'longitude': '-73.993437', 'human_address': '{""address"": ""541 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10018""}'}",2095,741
New York,727236,Store,JAC   ,SEAFOOD KING FISH MARKET INC     ,SEAFOOD KING FISH MARKE,3903-3905,BROADWAY               ,             ,               ,NEW YORK          ,NY,10032,0,"{'human_address': '{""address"": ""3903 3905"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10032""}'}",,
New York,721849,Store,JAC   ,64 FULTON ST FOOD CORP           ,SEAPORT DELI           ,64,FULTON STREET             ,             ,               ,NEW YORK          ,NY,10038,2500,"{'latitude': '40.708831', 'longitude': '-74.005143', 'human_address': '{""address"": ""64 FULTON STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10038""}'}",2095,797
New York,621861,Store,JAC   ,SKW SEAFOOD INC                  ,SEA&SEA FISH MARKET    ,60-62,W 116TH ST                 ,             ,               ,NEW YORK          ,NY,10026,3000,"{'latitude': '40.801729', 'longitude': '-73.94899', 'human_address': '{""address"": ""60 62 W 116TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10026""}'}",2095,753
New York,737861,Store,JAC   ,SEA & SEA LBF LLC                ,SEA & SEA LBF          ,310,ST NICHOLAS AVE              ,             ,               ,NEW YORK          ,NY,10027,2000,"{'latitude': '40.811113', 'longitude': '-73.952353', 'human_address': '{""address"": ""310 ST NICHOLAS AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10027""}'}",2095,754
New York,717754,Store,A     ,SEASON NATURAL FOOD INC          ,SEASON NATURAL FOOD    ,88,MULBURRY ST                   ,             ,               ,NEW YORK          ,NY,10013,100,"{'latitude': '40.71669', 'longitude': '-73.998842', 'human_address': '{""address"": ""88 MULBURRY ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095,737
New York,628426,Store,JAC   ,SECOND AVENUE DELI MARKET INC    ,SECOND AVENUE DELI MRKT,81,2ND AVE                       ,             ,               ,NEW YORK          ,NY,10003,0,"{'latitude': '40.726588', 'longitude': '-73.989129', 'human_address': '{""address"": ""81 2ND AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10003""}'}",2095,719
New York,719391,Store,JAC   ,SESAME HALVA AND TAHINI CO LLC   ,SEED & MILL            ,75,9TH AVE                 ,             ,               ,NEW YORK          ,NY,10011,0,"{'latitude': '40.742227', 'longitude': '-74.004466', 'human_address': '{""address"": ""75 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095,735
New York,726917,Store,JAC   ,TRAVIS MELBREN INC               ,SEES CANDIES           ,60,WEST 8TH ST               ,             ,               ,NEW YORK          ,NY,10011,1600,"{'latitude': '40.733208', 'longitude': '-73.998623', 'human_address': '{""address"": ""60 WEST 8TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095,735
New York,733116,Store,JAC   ,SERIE 56 DELI GROCERY INC        ,SERIE 56 DELI GROCERY  ,1915,LEXINGTON AVE               ,             ,               ,NEW YORK          ,NY,10035,1200,"{'latitude': '40.800372', 'longitude': '-73.94034', 'human_address': '{""address"": ""1915 LEXINGTON AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10035""}'}",2095,794
New York,628816,Store,A     ,S.F. NEWS INC                    ,S.F. NEWS              ,,CITY HALL 7 BROOKLYN BRIDGE SB   ,             ,               ,NEW YORK          ,NY,10010,400,,,
